Kab/Kota;Y;X1;X2;X3;X4;X5;Long;Lat
Kab.Cilacap;21;864;63,78;165;1436;604402;109,01;-7,7259
Kab.Banyumas;27;1314;67,36;191;1223;582382;109,23;-7,4233
Kab.Purbalingga;78;1275;25,65;130;157;310339;109,364;-7,3883
Kab.Banjarnegara;16;915;60,21;195;197;186969;109,695;-7,3949
Kab.Kebumen;18;1048;33,53;190;177;500393;109,661;-7,6713
Kab.Purworejo;9;729;62,01;204;276;227071;110,008;-7,7144
Kab.Wonosobo;3;899;72,24;123;696;178360;109,904;-7,3594
Kab.Magelang;12;1178;51,68;221;374;320414;110,219;-7,5925
Kab.Boyolali;24;994;74,28;194;162;302516;110,601;-7,5324
Kab.Klaten;20;1831;65;148;211;373900;110,592;-7,7127
Kab.Sukoharjo;17;1890;81,51;82;142;270342;110,836;-7,6808
Kab.Wonogiri;14;552;57;92;305;303569;110,926;-7,8154
Kab.Karanganyar;15;1189;51,51;143;147;354505;110,94;-7,5958
Kab.Sragen;33;1003;63,33;167;197;316255;111,023;-7,4268
Kab.Grobogan;20;738;67,26;193;1055;481706;110,918;-7,0798
Kab.Blora;80;461;65,29;145;462;284340;111,413;-6,9679
Kab.Rembang;45;636;59,93;178;243;206856;111,342;-6,7035
Kab.Pati;40;864;70,46;150;994;425068;111,04;-6,7525
Kab.Kudus;17;1955;80,53;67;151;271798;110,842;-6,8063
Kab.Jepara;81;1197;65,26;89;817;353248;110,668;-6,5903
Kab.Demak;29;1269;40,21;170;44;514245;110,638;-6,8916
Kab.Semarang;2;1060;74,72;361;65;303312;110,404;-7,137
Kab.Temanggung;3;935;76,97;180;704;254393;110,176;-7,315
Kab.Kendal;10;1044;66,72;158;710;345229;110,204;-6,9228
Kab.Batang;41;967;9,52;242;185;255435;109,73;-6,909
Kab.Pekalongan;72;1128;42,82;147;7;263080;109,591;-7,0287
Kab.Pemalang;167;1340;63,66;136;415;497265;109,382;-6,8903
Kab.Tegal;281;1682;58,01;82;396;486364;109,128;-6,9953
Kab.Brebes;267;1172;72,75;68;225;525332;109,037;-6,8715
Kota Magelang;2;6581;100;1;31;52739;110,218;-7,476
Kota Surakarta;5;11277;47,76;31;62;345014;110,823;-7,5663
Kota Salatiga;1;3618;48,87;23;132;67520;110,5;-7,329
Kota Semarang;17;4580;69,12;88;325;694134;110,413;-6,9818
Kota Pekalongan;37;6873;65,35;28;210;94931;109,662;-6,8969
Kota Tegal;27;7236;65,99;1;61;83291;109,138;-6,8702
