"V1","V2","V3","V4","V5","V6"
"1",17164796078.0814,-5471.6711790451,-51634.5502453571,-319.340013901456,-473.846268019429,304703.242746289
"2",27448566833.3552,-9180.4393789666,-109278.326177913,-512.929113128129,-499.965807553678,483690.828901877
"3",31985343743.7158,-10598.4927179976,-115495.075780633,-605.223865098538,-488.323030009864,514681.259187083
"4",40236832103.8496,-14147.9391981076,-79976.0532206199,-787.715087765894,-492.776382242513,485940.580473804
"5",32932062910.8712,-11454.4315095902,-57140.0063007561,-651.284726051528,-313.496722787739,374691.045163344
"6",34651999601.363,-17217.8000917045,-40925.2369400755,-693.725531479042,-336.701393279252,329678.078771965
"7",44586589972.4134,-18111.1985747908,-74177.7600470769,-814.150470225863,-590.60237181745,471851.409108863
"8",39768177598.3547,-23638.686142297,-41353.6512010963,-726.166203660385,-365.106046869099,330505.732984373
"9",32860228492.9488,-23691.4050023549,-24858.7953078375,-582.608405902758,-212.155171607619,202267.961160297
"10",27538241143.1929,-20619.2896792691,-21904.0220141149,-501.636734360677,-174.521196468834,172520.115525655
"11",23141563001.0367,-18779.2910002322,-18094.3647674275,-404.099429067017,-52.9443086120392,87982.7578990566
"12",18435665368.3946,-14353.821828727,-14575.5925590866,-319.493484708504,-30.1195924053255,51464.922051124
"13",21593498302.4114,-17713.2680751335,-16951.3631017719,-381.029629496871,-0.988649166379793,65867.0822512804
"14",19844383777.7458,-15998.874024159,-15847.2713890601,-364.084413322861,12.7731369558657,68704.4022672267
"15",25902455026.106,-15182.248345484,-22643.4840048813,-452.820413576028,40.9477468684461,105444.804959503
"16",9263670233.44062,-7357.0215970834,-8382.89156972441,-202.218283225466,98.4488042938144,10865.5201080039
"17",10304431605.4996,-6435.39325036066,-9915.13622138117,-227.379334576294,86.8428945346448,11740.2789275833
"18",17554931470.1755,-9707.84602505,-16965.6538436821,-334.578101150282,132.251250886931,55221.7334393604
"19",26917007467.9723,-12547.7738619743,-26647.4295343865,-448.089390960095,125.442153038683,101713.861010025
"20",28077450976.8853,-10505.4149345981,-32291.4824739135,-430.051667192431,99.2438040514479,129952.143737824
"21",40249589405.2001,-15620.4333288036,-40478.7080590532,-610.516311161007,54.1118477926177,182029.205070532
"22",68491145368.0742,-22199.1670971078,-62457.1070363271,-900.889196804289,-243.694508848408,321873.278058785
"23",52348781082.5522,-23752.9491876895,-60273.4642523025,-844.642087478482,-499.415401548611,413693.489861407
"24",53917156662.7723,-17159.4381666908,-85041.2170128601,-750.045422315208,-299.331152859799,355959.092154521
"25",49468174360.8377,-14739.9181987678,-990917.281507161,-728.451301481125,-423.082318893903,506303.671320678
"26",42815170162.6808,-14268.8956570258,-368105.906748623,-710.374702878084,-495.549628490164,580142.263811469
"27",34617012662.9343,-13284.8039027403,-498831.18307925,-569.492278068937,-426.180241679862,652404.337892722
"28",29127822986.7851,-12199.9315096149,-317466.116255102,-482.07174807264,-433.61162964309,702993.966929347
"29",25302091962.2636,-11632.3336459076,-467973.850363247,-401.270805732311,-360.58096128729,678674.661850133
"30",44250191287.6532,-26701.0082234468,-45869.9254488681,-779.987053120845,-419.464776151335,370035.997299703
"31",25421923935.8075,-21597.8743632846,-19618.5489826649,-447.266324200937,-63.7690141377764,107652.321166603
"32",46763759768.0191,-26064.3003063352,-39379.1874771048,-744.509809400069,-267.851857264458,287026.301153301
"33",55981798371.1726,-18949.0825281325,-61193.93721272,-804.415230052675,-137.983344543888,297735.307049314
"34",46008506115.0233,-14815.7232454452,-855610.107248692,-696.067075205573,-421.876208708956,530775.966942296
"35",28141947203.9757,-13791.4759952216,-454667.434072823,-450.10526919553,-379.002290294226,672681.996618566
